product_name,brand_parent_company,product_brand,product_type,marketed_gender,retailer,size,size_measurement,count,price,price_per_unit,url,ingrediants
"Dove Purely Pampering More Moisturizing Than Bar Soap Shea Butter Beauty Bar For Softer Skin, 3.75 OZ, 6 Bars",Unilever,Dove,Body Wash,F,CVS,3.75,oz,6,9.79,0.435111111,https://www.cvs.com/shop/dove-purely-pampering-shea-butter-beauty-bar-4-oz-6-bar-prodid-1020428,"sodium lauroyl isethionate, stearic acid, sodium tallowate or sodium palmitate, lauric acid, sodium isethionate, water, sodium stearate, cocamidopropyl betaine, sodium cocoate or sodium palm kernelate, fragrance, butyrospermum parkii (shea butter) oil, propylene glycol, sodium chloride, tetrasodium edta, tetrasodium etidronate, titanium dioxide, yellow 5, yellow 6."
"Dove Men+Care More Moisturizing Than Bar Soap Charcoal + Clay Body and Face Bar to Hydrate Skin, 3.75 OZ",Unilever,Dove,Body Wash,M,CVS,3.75,oz,6,9.79,0.435111111,https://www.cvs.com/shop/dove-men-care-more-moisturizing-than-bar-soap-charcoal-clay-body-and-face-bar-to-hydrate-skin-3-75-oz-prodid-229451,"sodium lauroyl isethionate, stearic acid, sodium oleate, sodium stearate, water (aqua), sodium isethionate, lauric acid, sodium c14-16 olefin sulfonate, sodium laurate, fragrance (parfum), charcoal powder, kaolin, dipropylene glycol, sodium chloride, microcrystalline wax, tetrasodium edta, tetrasodium etidronate, titanium dioxide (ci 77891), red 33 (ci 17200), yellow 5 (ci 19140), blue 1 (ci 42090), red 4 (ci 14700)."
"Dove go fresh Body Wash, Blue Fig and Orange Blossom, 22 OZ",Unilever,Dove,Body Wash,F,CVS,22,oz,1,10.49,0.476818182,https://www.cvs.com/shop/dove-go-fresh-body-wash-22-oz-prodid-1013049,"water (aqua), cocamidopropylbetaine, sodium lauroylglycinate, sodium chloride, sodium lauroylisethionate, acrylates copolymer, lauricacid, glycerin, fragrance (parfum), styrene/acrylates copolymer, stearic acid, dmdm hydantoin, bht, sodium isethionate, peg-150 pentaerythrityltetrastearate, ppg-2 hydroxyethyl cocamide, tetrasodiumedta, etidronicacid, methylisothiazolinone, iodopropynylbutylcarbamate, propylene glycol, citric acid, blue 1 (ci 42090)."
Dove Men+Care Clean Comfort Body and Face Wash,Unilever,Dove,Body Wash,M,CVS,18,oz,1,10.49,0.582777778,https://www.cvs.com/shop/dove-men-care-clean-comfort-body-and-face-wash-18-oz-prodid-391394,"water, sodium laureth sulfate, petrolatum, acrylates copolymer, fragrance, cocamide mea, ppg-9, ammonium chloride, dmdm hydantoin, tetrasodium edta, methylisothiazolinone, bht, blue 1, red 33, yellow 5."
"NIVEA Refreshing Body Wash with Nourishing Serum, 20 OZ",Beiersdorf,Nivea,Body Wash,F,CVS,20,oz,1,8.79,0.4395,https://www.cvs.com/shop/nivea-refreshing-body-wash-with-nourishing-serum-20-oz-prodid-2620090,"water, sodium laureth sulfate, cocamidopropyl betaine, peg-7 glyceryl cocoate, glycerin, panthenol, helianthus annuus (sunflower) seed oil, prunus amygdalus dulcis (sweet almond) oil, glycine soja (soybean) oil, tocopheryl acetate, palmitic acid, stearic acid, myristic acid, arachidic acid, oleic acid, sodium chloride, peg-3 distearate, citric acid, peg-40 hydrogenated castor oil, peg-200 hydrogenated glyceryl palmate, peg-90 glyceryl isostearate, polyquaternium-7, laureth-2, fragrance, sodium benzoate, sodium hydroxide, benzophenone-4, red 40, blue 1"
NIVEA MEN Maximum Hydration Body Wash,Beiersdorf,Nivea,Body Wash,M,CVS,16.9,oz,1,5.99,0.35443787,https://www.cvs.com/shop/nivea-men-maximum-hydration-body-wash-16-9-oz-prodid-1012993,"water, glycerin, sodium laureth sulfate, cocamidopropyl betaine, peg-7 glyceryl cocoate, helianthus annuus (sunflower) seed oil, aloe barbadensis leaf juice powder, peg-3 distearate, peg-200 hydrogenated glyceryl palmate, peg-40 hydrogenated castor oil, polyquaternium-7, fragrance, sodium chloride, citric acid, sodium benzoate"
"Suave Essentials Body Wash, Creamy Cocoa Butter and Shea 15 OZ",Unilever,Suave,Body Wash,F,CVS,15,oz,1,2.19,0.146,https://www.cvs.com/shop/suave-essentials-body-wash-15-oz-prodid-1013034,"water (aqua), sodium c12-13 pareth sulfate, cocamidopropylbetaine,sodium chloride, fragrance (parfum), sodium benzoate, glycol stearate, ppg - 9, citric acid,polyquaternium-10, tetrasodium edta, glycerin,stearamide amp, hydrolyzed milk protein,tocopheryl acetate, theobroma cacao (cocoa) seedbutter, butyrospermum parkii (shea) butter, honey extract, amyl cinnamal , benzyl alcohol, hexyl cinnamal, limonene, linalool,blue 1 (ci 42090), red 33 (ci1720 0 ), yellow 5 (ci 1914 0)"
"Suave Men Sport Body Wash, 15 OZ",Unilever,Suave,Body Wash,M,CVS,15,oz,1,2.19,0.146,https://www.cvs.com/shop/suave-men-sport-body-wash-15-oz-prodid-1012941,"water (aqua), sodium c12-13 pareth sulfate, cocamidopropyl betaine, sodium chloride, fragrance (parfum), sodium benzoate, citric acid, tetrasodium edta, ppg-9, glycerin, blue 1 (ci 42090), red 33(ci 17200)"
Suave Antiperspirant Deodorant,Unilever,Suave,Deodorant,F,Walgreens,2.6,oz,1,2.99,1.15,https://www.walgreens.com/store/c/suave-antiperspirant-deodorant-powder/ID=prod1645736-product,aluminum zirconium tetrachlorihydrex gly - 15.2 % (anti-perspirant)
Suave for Men Active Sport Antiperspirant Deodorant,Unilever,Suave,Deodorant,M,Walgreens,2.7,oz,1,2.49,0.922222222,https://www.walgreens.com/store/c/suave-antiperspirant-deodorant/ID=prod6393148-product,"aluminum zirconium tetrachlorohydrex gly - 18.2 % (antiperspirant) inactive: cyclopentasiloxane, isopropyl palmitate, stearyl alcohol, mineral oil, talc, hydrogenated castor oil, fragrance (parfum), steareth-100, bht"
